Rank,Rider,RiderNo.,Team,Times,Gap,B,P


1,REMCOEVENEPOEL,134,QUICK-STEPALPHAVINYLTEAM,80h26'59'',-,B:16'',-

2,ENRICMAS,124,MOVISTARTEAM,80h29'01'',+00h02'02'',B:23'',-

3,JUANAYUSOPESQUERA,174,UAETEAMEMIRATES,80h31'56'',+00h04'57'',B:4'',-

4,MIGUELANGELLOPEZ,21,ASTANAQAZAQSTANTEAM,80h32'55'',+00h05'56'',B:10'',-

5,JOAOPEDROGONÇALVESALMEIDA,175,UAETEAMEMIRATES,80h34'23'',+00h07'24'',-,-

6,THYMENARENSMAN,151,TEAMDSM,80h34'44'',+00h07'45'',B:16'',-

7,CARLOSRODRIGUEZCANO,86,INEOSGRENADIERS,80h34'56'',+00h07'57'',-,-

8,BENO'CONNOR,11,AG2RCITROENTEAM,80h37'29'',+00h10'30'',-,-

9,RIGOBERTOURAN,61,EFEDUCATION-EASYPOST,80h38'03'',+00h11'04'',B:12'',P:10''

10,JAIHINDLEY,44,BORA-HANSGROHE,80h39'00'',+00h12'01'',-,-

11,LOUISMEINTJES,94,INTERMARCHE-WANTY-GOBERTMATERIAUX,80h42'40'',+00h15'41'',B:11'',-

12,JANPOLANC,178,UAETEAMEMIRATES,80h48'38'',+00h21'39'',-,-

13,ALEJANDROVALVERDE,121,MOVISTARTEAM,80h52'38'',+00h25'39'',-,-

14,RICHARDCARAPAZ,81,INEOSGRENADIERS,80h56'18'',+00h29'19'',B:40'',P:0''

15,MIKELLANDA,31,BAHRAINVICTORIOUS,81h11'12'',+00h44'13'',-,-

16,LUISLEONSANCHEZ,35,BAHRAINVICTORIOUS,81h12'48'',+00h45'49'',B:3'',-

17,THIBAUTPINOT,71,GROUPAMA-FDJ,81h13'19'',+00h46'20'',B:2'',-

18,WILCOKELDERMAN,45,BORA-HANSGROHE,81h15'36'',+00h48'37'',B:6'',-

19,TAOGEOGHEGANHART,83,INEOSGRENADIERS,81h16'10'',+00h49'11'',-,-

20,GINOMÄDER,33,BAHRAINVICTORIOUS,81h19'24'',+00h52'25'',-,-

21,DAVIDDELACRUZ,23,ASTANAQAZAQSTANTEAM,81h27'14'',+01h00'15'',-,-

22,OSCARCABEDOCARDA,192,BURGOS-BH,81h27'53'',+01h00'54'',-,-

23,SERGIOANDRESHIGUITA,43,BORA-HANSGROHE,81h28'22'',+01h01'23'',B:4'',-

24,SÉBASTIENREICHENBACH,76,GROUPAMA-FDJ,81h28'38'',+01h01'39'',-,-

25,HUGHJOHNCARTHY,63,EFEDUCATION-EASYPOST,81h31'30'',+01h04'31'',B:1'',-

26,JOSEFELIXPARRACUERDA,207,EQUIPOKERNPHARMA,81h32'01'',+01h05'02'',-,-

27,MARCSOLER,171,UAETEAMEMIRATES,81h44'07'',+01h17'08'',B:24'',-

28,MIKELBIZKARRA,211,EUSKALTEL-EUSKADI,81h47'33'',+01h20'34'',-,-

29,JANBAKELANTS,91,INTERMARCHE-WANTY-GOBERTMATERIAUX,81h48'32'',+01h21'33'',B:1'',-

30,SAMOOMEN,7,JUMBO-VISMA,81h49'42'',+01h22'43'',-,-

